Sample ID	Chromosome	Start	End	Number of probes	Segment mean value
678	19	19905914	24310782	241	-0.0252649
678	19	28263182	36642448	996	0.279233
678	19	36642570	38375838	253	0.0980806
678	19	38375838	46287973	2236	0.239239
678	19	46288851	59080953	3573	0.0568243
678	20	68350	3232717	482	0.10466
678	20	3233217	26256532	1417	-0.0351005
678	20	29458437	62965020	3962	0.128897
678	21	9411693	34443096	741	-0.194779
678	21	34614227	45953806	1179	-0.20713
678	21	45959184	46066674	39	-0.501056
678	21	46066674	48119395	398	-0.199319
678	22	16050500	20455881	501	0.109586
678	22	20749622	25423466	702	0.103343
678	22	25423966	25437492	15	-0.464289
678	22	25445831	51244066	3523	0.0970628
1104	1	69396	12921354	1895	-0.805273
1104	1	12956178	13747452	24	-1.46805
1104	1	13748233	17248573	402	-0.827503
1104	1	17250819	17280852	10	-1.69664
1104	1	17281228	64239588	6004	-0.809793
1104	1	64240679	121484934	3962	-0.719053
1104	1	142535934	144880861	22	0.119162
1104	1	144881429	148004047	266	0.63972
1104	1	148022926	152185813	725	0.0826516
1104	1	152186076	152190547	12	-1.06024
1104	1	152190547	161480746	2257	0.119621
1104	1	161494448	161561188	17	-2.17626
1104	1	161561918	201966682	3051	0.140187
1104	1	201969029	249240121	4254	0.0850996
1104	2	10500	72359748	5066	0.6227
1104	2	72360151	89513156	1185	0.0947071
1104	2	89513156	92267022	66	-0.222831
1104	2	95537324	206058044	7562	0.135063
1104	2	206058544	218669326	851	-0.127087
1104	2	218672797	223797998	814	-0.238142
1104	2	223799247	243188873	1844	-0.728422
1104	3	60500	38651455	2460	-0.739842
1104	3	38655233	52304825	2691	-0.815902
1104	3	52312216	75785528	1648	-0.743463
1104	3	75786028	75790887	10	-3.31409
1104	3	75791387	90154779	234	-0.795881
1104	3	93519633	169939957	5113	1.25747
1104	3	169940457	197961930	2057	1.5209
1104	4	85621	46563843	2614	-0.666205
1104	4	46563843	49338441	272	0.114364
1104	4	52709408	191025802	6874	-0.421913
1104	5	10500	45907753	2232	0.0744145
1104	5	49555074	158126150	7063	-0.204368
1104	5	158139161	180582179	1670	0.0580676
1104	5	180582179	180904760	37	-0.218095
1104	6	60500	13053761	722	-1.40537
1104	6	13054261	13978094	75	0.350819
1104	6	13978594	19205210	236	-0.285605
1104	6	19205210	23665156	82	0.23595
1104	6	23665156	26411809	324	-0.250712
1104	6	26412932	31430492	278	-0.438767
1104	6	31431147	32469690	31	-1.26189
1104	6	32485515	32548047	7	-18.7688
1104	6	32551885	58745455	2754	-0.264478
1104	6	61944508	171054567	6142	-0.226816
1104	7	10500	3658211	370	-0.260505
1104	7	3658711	4304255	50	-1.29561
1104	7	4304755	52478124	2938	-0.204636
1104	7	52478124	57544226	166	-0.573989
1104	7	61657308	68456528	204	-0.615227
1104	7	68456528	74211534	385	0.114682
1104	7	74211802	75051356	57	-0.169706
1104	7	75053808	90585132	905	0.164962
1104	7	90585632	94027708	323	-0.142968
1104	7	94028360	103008256	1388	0.388355
1104	7	103008343	143053878	2937	0.449633
1104	7	143053878	158581108	1244	0.371593
1104	7	158586340	158935237	44	-0.218718
1104	8	10500	31801078	2069	-0.760658
1104	8	31801078	36722039	130	0.716942
1104	8	36722539	38515627	217	0.488775
1104	8	38515627	42865548	436	-0.697303
1104	8	42868193	43398986	44	0.602546
1104	8	48114027	100133715	2346	0.5084
1104	8	100134215	107754545	475	0.758431
1104	8	107773264	144643593	1834	0.662247
1104	8	144643911	146303522	690	0.563197
1104	9	18279	36882102	2185	0.88147
1104	9	36882602	38572056	142	0.290982
1104	9	38575472	47317179	74	-0.0162418
1104	9	65468179	70913379	32	0.202548
1104	9	70919621	90387030	1045	-0.231743
1104	9	90387530	90538120	28	-0.682144
1104	9	90538120	131755973	3790	-0.243084
1104	9	131756651	131765733	11	-1.13057
1104	9	131767425	141152931	1915	-0.282314
1104	10	60500	17813380	1136	-0.765515
1104	10	17818027	18241705	65	-1.43231
1104	10	18242205	38771777	1091	-0.760496
1104	10	42602610	51631463	546	0.0379413
1104	10	51631991	51978390	22	-0.768682
1104	10	51978890	124343867	5736	0.0866462
1104	10	124344786	124351033	3	-26.7682
1104	10	124353084	135524247	846	-0.0164471
1104	11	60500	33307460	3357	0.424539
1104	11	33307960	51516211	1192	-0.13013
1104	11	55035825	61732363	1040	-0.214451
1104	11	61732458	117857249	5743	0.0444647
1104	11	117859096	124096312	890	0.572888
1104	11	124120422	124440699	40	0.210066
1104	11	124440699	133402219	635	0.567433
1104	11	133402719	134946016	150	1.2158
1104	12	146239	31245826	2965	0.0848258
1104	12	31246178	31298059	32	-0.382191
1104	12	31298319	34431528	185	0.113432
1104	12	37857194	41166817	176	0.0865845
1104	12	41166817	132824580	8988	-0.238766
1104	12	132834227	133214725	42	0.444952
1104	12	133215710	133357500	73	-0.241567
1104	12	133358881	133781116	81	0.22839
1104	13	19171689	86759824	3188	0.0650549
1104	13	87068192	115109378	1438	0.120479
1104	14	19217246	20295915	11	-0.785625
1104	14	20295915	44975639	2081	0.490087
1104	14	44975639	60337348	1113	0.643554
1104	14	60581430	107283288	4255	0.599839
1104	15	20169914	22077978	16	-0.548435
1104	15	22082565	59189432	3735	0.0716751
1104	15	59191001	84706558	2758	0.00165325
1104	15	85081712	102499862	1248	0.0591098
1104	16	97429	35148746	4626	0.00724839
1104	16	46615640	70154622	2319	-0.27835
1104	16	70161162	70190782	11	0.548615
1104	16	70191282	90294253	2062	-0.306462
1104	17	6010	21826317	3903	-0.779391
1104	17	25524939	43240226	3553	0.029061
1104	17	43246381	44248993	139	0.427184
1104	17	44249251	44772028	33	-0.838982
1104	17	44782124	81194710	5023	0.573268
1104	18	158698	6243428	355	-0.206157
1104	18	6244482	7774269	96	0.193026
1104	18	7774769	15249095	497	-0.24188
1104	18	18520842	28993558	651	0.389104
1104	18	28994058	31432305	214	0.602278
1104	18	31432805	32462165	46	1.0062
1104	18	32559005	33272284	57	0.306504
1104	18	33272784	78016748	1987	-0.0701482
1104	19	60500	1917821	572	-0.330072
1104	19	1918125	9038136	1958	0.0114838
1104	19	9038379	9091814	139	-0.273757
1104	19	9092314	10363377	317	-0.022603
1104	19	10365264	11276733	342	-0.262856
1104	19	11277233	17838720	1792	0.0185505
1104	19	17838720	20308341	673	-0.278538
1104	19	20308341	24310782	204	-0.484046
1104	19	28263182	59080953	6921	-0.239965
1104	20	68350	26189239	1865	0.0439921
1104	20	29458437	31887790	398	0.535155
1104	20	31889038	62965020	3529	-0.302515
1104	21	9411693	26793070	236	0.0749527
1104	21	26793070	34443096	496	-0.78307
1104	21	34614227	45953806	1180	-0.788284
1104	21	45959184	46074531	42	-1.15968
1104	21	46077896	48119395	401	-0.766531
1104	22	16266928	20508931	492	0.0239298
1104	22	20748918	51244066	4159	0.00904821
1619	1	70508	120930293	12489	-0.0359524
1619	1	142535934	249240121	10741	-0.0355537
1619	2	10500	92267022	6435	-0.000127518
1619	2	95326671	243188873	11243	0.00190181
1619	3	60500	42751290	2961	-0.0423959
1619	3	42754653	46621550	481	-0.138111
1619	3	46622621	90154779	3715	-0.0427262
1619	3	93519633	197961930	7265	-0.0195427
1619	4	85621	49632814	2940	0.00369641
1619	4	52660617	191025802	6994	-0.0174539
1619	5	10500	45907753	2258	0.0138366
1619	5	49555074	180904760	8933	-0.0194825
1619	6	60500	28333775	1681	-0.00510895
1619	6	28333775	33555661	189	-0.254889
1619	6	33560943	58745455	2733	-0.00775935
1619	6	61944508	171054567	6258	-0.0137705
1619	7	10500	57938684	3617	0.0852123
1619	7	61657308	159128163	7633	0.00946664
1619	8	10500	43398986	2953	-0.0457682
1619	8	47805490	146303522	5449	-0.0249297
1619	9	18279	47317179	2455	-0.0580909
1619	9	65468179	141152931	6923	-0.0324388
1619	10	60500	38771777	2350	0.00969866
1619	10	42602610	48370032	218	0.125776
1619	10	48370532	135524247	7074	-0.037555
1619	11	60500	3108934	808	0.0266364
1619	11	3109434	7323769	792	-0.09855
1619	11	7324269	51516211	3028	-0.0208961
1619	11	55035825	134946016	8628	-0.0174875
1619	12	60500	21459922	2332	-0.00461766
1619	12	21467482	27069113	372	0.382341
1619	12	27070284	34431528	508	0.0458558
1619	12	37857194	57537581	3073	-0.0348444
1619	12	57538754	57603952	74	0.360524
1619	12	57604089	58131737	267	0.116438
1619	12	58131737	58207206	61	0.413927
1619	12	58207934	64202872	178	0.143508
1619	12	64238596	75756381	732	0.425402
1619	12	75756881	133501458	5050	-0.0377702
1619	12	133501958	133781116	49	-0.328481
1619	13	19020500	46733124	2015	-0.0312186
1619	13	46917519	53608635	514	-0.088408
1619	13	53616044	115109378	2188	0.00516517
1619	14	19217246	33293979	1701	-0.0390298
1619	14	33294479	41128597	393	0.135363
1619	14	41128597	47503713	180	-0.0190822
1619	14	47504213	52465298	356	0.275092
1619	14	52466425	60337348	625	0.0233401
1619	14	60581430	107283288	4300	0.0367487
1619	15	20169609	84706558	6643	-0.037106
1619	15	85034973	102499862	1285	-0.0224603
1619	16	60500	35148746	4703	-0.0219218
1619	16	46615640	90294253	4434	-0.0157024
1619	17	6010	22220573	3918	-0.0467322
1619	17	25524939	43344565	3637	-0.0296965
1619	17	43344772	44806300	131	-0.2228
1619	17	44806800	81194710	5097	-0.0040759
1619	18	10500	15249095	964	-0.00101376
1619	18	18520842	78016748	3006	-0.0349269
1619	19	60500	8971824	2495	-0.000535899
1619	19	8973548	9640312	298	-0.24668
1619	19	9641660	24310782	3268	-0.00858939
1619	19	28263182	59080953	7009	-0.0566631
1619	20	68350	26256532	1905	-0.0610704
1619	20	29458437	62965020	3961	0.0177499
1619	21	9411693	45953806	1951	-0.0174565
1619	21	45959184	46074531	42	-0.373513
1619	21	46077896	48119395	410	-0.0106165
1619	22	16050500	20508931	491	-0.0390886
1619	22	20749622	25423466	714	-0.0465317
1619	22	25423966	25445331	17	-0.669049
1619	22	25445831	51244066	3516	-0.0355582
1250	1	69396	1588761	369	-0.342405
1250	1	1597220	1670996	27	0.39293
1250	1	1671496	13386481	1539	-0.330124
1250	1	13427578	13747452	22	-0.904792
1250	1	13748233	70476979	6846	-0.34583
1250	1	70477479	120930293	3603	-0.387589
1250	1	143645025	212220759	7577	0.377174
1250	1	212236225	212560442	32	0.993759
1250	1	212560942	249240121	3029	0.375301
1250	2	10500	92267022	6372	0.245793
1250	2	95326671	100622593	736	0.26261
1250	2	100623093	115919849	922	0.654162
1250	2	116066814	124330870	353	0.950336
1250	2	124330870	126833014	50	1.6624
1250	2	126833014	141457318	849	-0.338368
1250	2	141457818	142237464	50	-2.37985
1250	2	142237964	142728093	5	1.53469
1250	2	142728093	162081257	938	-0.360895
1250	2	162087481	169733894	558	0.594653
1250	2	169734394	171700667	309	0.74711
1250	2	171702015	212543909	3369	0.590516
1250	2	212544409	242640980	2939	-0.165536
1250	2	242641480	243188873	48	0.441918
1250	3	60500	44155877	3017	-0.33289
1250	3	44156627	45637779	234	-1.13954
1250	3	45638279	46244236	91	-0.36367
1250	3	46244736	55768946	2488	-1.03983
1250	3	55769446	56590770	23	-0.290202
1250	3	56591270	56992917	68	-1.09134
1250	3	57069677	57993791	172	-0.32032
1250	3	57994291	58089812	11	-1.10689
1250	3	58090806	58555587	109	-0.28495
1250	3	58620005	60174282	35	-1.15219
1250	3	60174282	63263709	110	-0.384599
1250	3	63264209	63824175	19	-0.980639
1250	3	63849966	66394364	130	-0.408342
1250	3	66413283	66882629	29	-1.08626
1250	3	66882629	67578646	18	-0.370771
1250	3	67580110	68929996	18	-1.08537
1250	3	68934325	69362668	89	-0.28421
1250	3	69363168	90154779	415	-1.02678
1250	3	93519633	197961930	7218	0.484832
1250	4	85621	49009343	2900	-0.672399
1250	4	49019845	49632814	12	0.883921
1250	4	52660617	107956748	3165	-0.377723
1250	4	107957248	115382774	471	0.406095
1250	4	115382774	116304032	31	1.22927
1250	4	116304032	191025802	3245	-0.404321
1250	5	10500	26118529	1051	0.205063
1250	5	26118529	28464160	29	0.821828
1250	5	28464160	45907753	1165	0.385164
1250	5	49555074	134520118	4462	-0.130209
1250	5	134520118	149786887	2006	0.437579
1250	5	149792187	150227185	71	0.957946
1250	5	150227685	180904760	2288	0.444869
1250	6	60500	28474206	1685	-0.380364
1250	6	28478527	33475013	138	-0.766049
1250	6	33477110	58745455	2701	-0.337596
1250	6	61944508	63138220	17	0.620044
1250	6	63138220	64791895	70	1.47456
1250	6	64792395	77399923	644	-0.345
1250	6	77399923	78329528	10	1.38644
1250	6	78329528	171054567	5429	-0.347997
1250	7	10500	1487401	139	-0.335284
1250	7	1488255	1784784	62	1.03592
1250	7	1784784	6502096	515	0.418178
1250	7	6502596	7002035	80	-0.338129
1250	7	7137742	16415216	325	0.410977
1250	7	16415716	16649390	13	-0.363554
1250	7	16650173	24859857	513	0.444961
1250	7	24860357	30197164	281	-0.411053
1250	7	30197664	30536207	27	0.311928
1250	7	30536707	30880464	49	-0.414327
1250	7	30890069	32387749	92	0.40735
1250	7	32387749	33795031	77	-0.330761
1250	7	33795031	34866512	28	0.51969
1250	7	34867012	57544226	1364	-0.385397
1250	7	61657308	143268410	6327	0.810086
1250	7	143269169	143454751	14	0.290362
1250	7	143551225	158935237	1266	0.783673
1250	8	10500	12950334	612	-0.770036
1250	8	12952267	43398986	2321	-0.670845
1250	8	48114027	75926337	1303	0.255358
1250	8	75927046	79070154	85	0.0372972
1250	8	79216809	92020470	469	0.236006
1250	8	92030617	120797506	1445	0.445331
1250	8	120800577	138559744	866	0.999732
1250	8	138559744	146054989	1157	0.72352
1250	8	146062775	146303522	30	0.545708
1250	9	18279	47317179	2421	-0.392814
1250	9	65468179	141152931	6868	0.0730918
1250	10	60500	7290611	455	-0.334539
1250	10	7291111	38771777	1855	-0.115677
1250	10	42602610	65687590	1091	-0.153145
1250	10	65687590	87675996	1594	1.04826
1250	10	87676496	89120937	114	1.73138
1250	10	89264990	108716338	2470	-0.14385
1250	10	108716838	117486257	546	-0.678938
1250	10	117486757	135524247	1425	-0.138776
1250	11	60500	24784854	3000	-0.681666
1250	11	24785354	33612967	439	-0.423597
1250	11	33620365	51516211	1147	-0.587674
1250	11	55035825	83497835	4656	-0.333249
1250	11	83544656	85309740	31	-1.08712
1250	11	85342730	134946016	3897	-0.349767
1250	12	146239	34431528	3189	0.441365
1250	12	37857194	40075912	99	0.431429
1250	12	40076412	40629516	30	0.977988
1250	12	40631770	41301734	46	0.490319
1250	12	41302234	49745285	885	-0.430826
1250	12	49745785	54852392	1199	0.432028
1250	12	54852892	57181126	680	-0.427712
1250	12	57181626	57502061	95	0.817603
1250	12	57502561	58503619	430	1.85466
1250	12	58503619	69326617	520	-0.153019
1250	12	69327117	70209226	78	1.8112
1250	12	70363652	70794116	20	0.820867
1250	12	70824264	72041593	128	1.13172
1250	12	72050664	73525954	89	0.807969
1250	12	73525954	133781116	5130	-0.163025
1250	13	19171689	86759824	3205	-0.3607
1250	13	87068192	105668317	806	-0.336311
1250	13	105668317	115109378	645	0.0965241
1250	14	19217246	60337348	3241	0.0200352
1250	14	60581430	90528049	2281	0.0470012
1250	14	90528549	92980320	298	-0.499347
1250	14	92980820	97500876	501	0.0168222
1250	14	97500876	99736997	29	-0.461525
1250	14	99737497	103058732	419	0.0668428
1250	14	103059232	107283288	746	-0.47228
1250	15	20169609	84706558	6580	-0.011453
1250	15	85081712	102499862	1254	-0.0131393
1250	16	97429	30484219	4160	-0.358985
1250	16	30485516	35148746	538	0.630561
1250	16	46615640	55571544	609	0.587202
1250	16	55579646	57563089	373	0.340336
1250	16	57563589	59690225	290	0.515756
1250	16	59843824	74442403	1651	0.276132
1250	16	74443447	75602107	186	0.452703
1250	16	75611176	75682003	26	1.14132
1250	16	75682003	78064738	109	0.646598
1250	16	78133675	81640671	156	1.12605
1250	16	81641171	82508201	79	-0.405381
1250	16	82508201	88494142	447	-0.680439
1250	16	88494142	90294253	525	-0.422929
1250	17	6010	19263701	3693	-0.375676
1250	17	19266382	22157351	214	0.490617
1250	17	25524939	39165326	2315	0.414992
1250	17	39165826	39881179	158	0.229153
1250	17	39881179	50234585	2165	0.411029
1250	17	50235085	57644155	536	0.22125
1250	17	57647878	57970686	72	0.499307
1250	17	57971186	81194710	3569	0.272763
1250	18	10500	1206201	101	-0.370691
1250	18	1502267	15249095	851	0.281633
1250	18	18520842	19031112	52	0.602693
1250	18	19032043	24128500	462	0.276863
1250	18	24129000	28647480	78	0.547179
1250	18	28647980	78016748	2378	-0.368073
1250	19	60500	9028396	2608	0.0731663
1250	19	9033230	9677492	242	-0.0851212
1250	19	9677492	21719595	3143	0.0903973
1250	19	21719595	24310782	131	-0.102153
1250	19	28263182	28693613	3	-0.328098
1250	19	28693613	36672867	984	0.45652
1250	19	36673367	38375838	247	0.299029
1250	19	38375838	45864900	2059	0.442191
1250	19	45867000	55317699	2630	-0.43408
1250	19	55324579	55351154	15	-2.18489
1250	19	55358638	58773304	941	-0.494071
1250	19	58773304	59080953	129	-0.820639
1250	20	68350	26189239	1885	0.294068
1250	20	29458437	62965020	3953	0.26225
1250	21	9411693	34443368	740	-0.365495
1250	21	34614227	48119395	1616	-0.364274
1250	22	16266928	20455881	493	0.27462
1250	22	20748918	25423466	714	0.256716
1250	22	25423966	51207302	3481	-0.106759
1250	22	51207468	51244066	8	0.528716
1401	1	70508	53546548	7645	0.046328
1401	1	53547652	89847533	2315	-0.00346862
1401	1	89848222	120930293	2573	-0.0637351
1401	1	142535934	149916480	374	0.0266366
1401	1	149916480	151215043	365	0.196766
1401	1	151219395	186863343	4828	0.0860402
1401	1	186863843	213415640	2187	-0.0622521
1401	1	213415911	246729440	2640	0.0471116
1401	1	246729940	249240121	310	-0.168516
1401	2	10500	92267022	6434	-0.0444272
1401	2	95326671	105460535	1017	-0.000979697
1401	2	105471968	243188873	10187	-0.052282
1401	3	60500	38519461	2459	-0.0410734
1401	3	38519631	46755991	998	-0.106819
1401	3	46757024	90154779	3664	-0.0258199
1401	3	93519633	121097733	1560	-0.0659582
1401	3	121100139	195497242	5385	0.00987242
1401	3	195498522	195516250	13	-0.618129
1401	3	195516250	197961930	320	0.0700752
1401	4	85621	49632814	2938	-0.0509963
1401	4	52660617	67889931	571	-0.00204633
1401	4	67889931	71660611	368	-0.177973
1401	4	71668672	134832347	3522	-0.0646576
1401	4	134832347	154709987	924	0.277084
1401	4	154710487	158254138	228	-0.0319189
1401	4	158255161	160265211	129	0.161098
1401	4	160266257	191025802	1231	-0.0208208
1401	5	10500	453938	67	0.0928842
1401	5	453938	39107044	1817	0.310104
1401	5	39107544	45907753	376	0.0584204
1401	5	49555074	140078137	5231	0.00872009
1401	5	140080403	140810599	418	-0.103977
1401	5	140810599	180904760	3279	0.00092944
1401	6	60500	27925724	1598	0.0718808
1401	6	27925724	33475013	229	-0.0866807
1401	6	33477110	58745455	2728	0.0845377
1401	6	61944508	171054567	6258	0.0678308
1401	7	10500	57938684	3625	0.00912162
1401	7	61657308	80300480	1011	0.102744
1401	7	80301237	158935237	6624	-0.0161048
1401	8	10500	38273578	2452	-0.106901
1401	8	38274823	43398986	513	0.0162111
1401	8	48114027	146303522	5412	-0.00863052
1401	9	18279	47317179	2439	-0.0629552
1401	9	65468179	111625386	2588	-0.06257
1401	9	111625386	114304693	346	0.114506
1401	9	114304693	126531842	1135	-0.0655824
1401	9	126532342	134455778	1339	0.0407254
1401	9	134457991	141152931	1520	-0.0222755
1401	10	60500	17742278	1144	-0.109343
1401	10	17746968	18284651	84	-0.330923
1401	10	18289595	35456153	994	-0.0151689
1401	10	35456653	38771777	124	-0.164059
1401	10	42602610	61835397	897	-0.162388
1401	10	61835397	129870478	5940	-0.101814
1401	10	129871600	135439807	432	-0.200171
1401	11	60500	639976	251	-0.201081
1401	11	640400	4565920	716	-0.0229368
1401	11	4566420	8102557	727	-0.152408
1401	11	8103057	46741412	2451	-0.0501066
1401	11	46742072	51516211	473	0.0349762
1401	11	55035825	61079367	852	-0.120301
1401	11	61079460	74203409	3164	-0.00793076
1401	11	74204282	134946016	4614	-0.0657799
1401	12	60500	34431528	3216	-0.106943
1401	12	37857194	109288143	6564	-0.0511282
1401	12	109290781	124362455	2210	0.0135642
1401	12	124363810	133502213	674	-0.0610418
1401	12	133502213	133781116	48	-0.47536
1401	13	19171689	73402052	2827	-0.111736
1401	13	73409380	86759824	407	0.0347991
1401	13	87068192	100517165	490	0.108449
1401	13	100518493	115109378	974	-0.0100935
1401	14	19217246	22386950	496	-0.0690796
1401	14	22392272	23013164	153	-0.360322
1401	14	23016438	60337348	2631	-0.0424999
1401	14	60581430	105964314	4136	-0.0292555
1401	14	105964953	107283288	164	-0.213958
1401	15	20169609	84706558	6645	-0.0352021
1401	15	85081712	102499862	1266	-0.0252819
1401	16	97429	35148746	4721	0.1177
1401	16	46615640	70690582	2516	-0.0570193
1401	16	70690862	90294253	1973	-0.120197
1401	17	6010	22157351	3921	-0.0118433
1401	17	25524939	39133948	2320	0.0587218
1401	17	39134448	39777343	160	-0.111976
1401	17	39781261	43323963	1135	0.0815463
1401	17	43331792	44791352	143	-0.107005
1401	17	44803914	81194710	5092	0.0672316
1401	18	158698	15249095	969	-0.0402054
1401	18	18520842	30672224	814	0.143837
1401	18	30672724	78016748	2180	-0.121158
1401	19	60500	9028396	2594	0.0215716
1401	19	9033609	9640312	233	-0.191723
1401	19	9641660	21719595	3160	0.0465312
1401	19	21719595	24310782	133	-0.162734
1401	19	28263182	37117599	1054	0.0829367
1401	19	37117599	38377441	201	-0.0908958
1401	19	38377441	56694581	5191	0.0592666
1401	19	56696583	59080953	600	-0.105132
1401	20	68350	2291063	229	-0.0345447
1401	20	2291656	5540722	543	0.0947583
1401	20	5542110	26189239	1127	-0.0193944
1401	20	29458437	30226320	47	0.39439
1401	20	30227735	33128428	503	0.0341723
1401	20	33137781	43036115	1164	-0.0855875
1401	20	43042333	62965020	2254	-0.0169842
1401	21	9411693	34443368	751	0.0699748
1401	21	34614227	40181458	457	0.109403
1401	21	40181958	48119395	1173	-0.0471875
1401	22	16266928	20455881	497	0.0399786
1401	22	20748918	25423466	714	0.0273015
1401	22	25423966	25437492	15	-0.545976
1401	22	25445196	50723094	3229	0.0668665
1401	22	50724228	51244066	262	-0.144249
1873	1	70508	74540474	9027	-0.32462
1873	1	74575077	75107143	67	1.07614
1873	1	75108710	90487904	913	0.610014
1873	1	90492912	103196373	847	0.192391
1873	1	103196373	104295431	93	-0.125373
1873	1	104297120	120930293	1586	0.230986
1873	1	142535934	249240121	10703	0.0743015
1873	2	10500	1426901	65	0.0297897
1873	2	1437209	53016729	3703	0.257825
1873	2	53016729	88999582	2549	-0.02723
1873	2	89000082	92267022	117	-0.253719
1873	2	95326671	189839294	6302	-0.0644339
1873	2	189842735	189940163	82	-0.484394
1873	2	189943241	219140344	2202	-0.0441396
1873	2	219140748	219299428	66	0.271949
1873	2	219300011	243188873	2552	-0.0545613
1873	3	60500	4458926	154	-0.0773613
1873	3	4459693	5257603	96	0.703541
1873	3	5258103	46784572	3211	-0.042577
